PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
18/01060/B,Ballacaroon West Baldwin Road Mount Rule Isle Of Man IM4 4HS ,Erection of a dwelling with detached garage,Permitted,24-Dec-18,Head of Development Management
18/01061/B,The Old Mortuary Farrants Way Castletown Isle Of Man IM9 1NR,"Variation of condition 2 of application 17/00319/B for the conversion of building into restaurant and takeaway, to permit extended opening hours from 10.30pm on New Year's Eve until 1am on New Year's Day",Permitted,20-Nov-18,Head of Development Management
18/01062/LAW,20 Rhenwyllan Close Port St. Mary Isle Of Man IM9 5NJ ,Application for certificate of Lawful Development for the erection of a conservatory,Certificate of Lawfulness AGREED,18-Dec-18,Head of Development Management
18/01063/B,169 Royal Avenue Onchan Isle Of Man IM3 1LL,Erection of extension to rear of property,Permitted,20-Nov-18,Head of Development Management
18/01065/B,Cushag Cooil Avenue Kirk Michael Isle Of Man IM6 1HD,Erection of single storey extension to rear of property including removal of existing chimneys and installation of flue from new wood burner,Permitted,27-Nov-18,Head of Development Management
18/01066/B,Farmhill Stores Clybane Court Douglas Isle Of Man IM2 2NF,Installation of air conditioning unit on wall of building,Permitted,12-Dec-18,Head of Development Management
18/01067/B,16 Stanley Mount Peel Isle Of Man IM5 1NE,Installation of PVC windows to front elevation (retrospective),Permitted,22-Nov-18,Head of Development Management
18/01068/B,71 Malew Street Castletown Isle Of Man IM9 1LR,Installation of replacement windows (retrospective),Permitted,04-Dec-18,Head of Development Management
18/01069/C,3 Spaldrick View Port Erin Isle Of Man IM9 6PB,Additional use of property as self-catering tourist accommodation,Permitted,13-Dec-18,Principal Planner - South (SC)
18/01071/B,48 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HZ,Change of use of adjacent open space land to form part of residential curtilage and erection of timber garden room (retrospective).,Permitted,11-Dec-18,Planning Committee
18/01072/B,15 Farrant Street Douglas Isle Of Man IM2 3HF,Alterations and erection of extension to rear elevation,Permitted,28-Nov-18,Principal Planner- North (CB)
18/01074/B,Garages To Rear Of Ballagill Orestal Colby Isle Of Man  ,Replacement of existing garages with permeable surface parking area,Permitted,28-Nov-18,Principal Planner- North (CB)
18/01075/B,2 Richmond Close Douglas Isle Of Man IM2 6HR,"Alterations, erection of extension and widening of existing vehicular access",Permitted,28-Nov-18,Principal Planner- North (CB)
18/01076/B,Corrin Hall St German Cathedral Derby Road Peel Isle Of Man IM5 1HH,Installation of replacement windows,Permitted,05-Dec-18,Head of Development Management
18/01077/B,The Meadows Port E Chee Tromode Douglas Isle Of Man IM2 5PD ,Erection of a detached building to provide entertainment space and associated facilities,Permitted,18-Dec-18,Head of Development Management
18/01078/B,10 Scott Close Onchan Isle Of Man IM3 2HA ,"Single storey extension to property, and creation of additional vehicular access to serve additional parking area",Permitted,28-Nov-18,Head of Development Management
18/01079/B,4 Sunnybank Avenue Onchan Isle Of Man IM3 3BN,Replacement of existing conservatory roof with tiled roof,Permitted,29-Nov-18,Head of Development Management
18/01080/LAW,63 Derby Road Douglas Isle Of Man IM2 3EW,Application for certificate of Lawful Development for the installation of replacement windows,Certificate of Lawfulness AGREED,29-Nov-18,Head of Development Management
18/01082/B,28 Hailwood Avenue Douglas Isle Of Man IM2 7DG,Erection of flue from multi-fuel stove on west gable of property,Permitted,29-Nov-18,Head of Development Management
18/01083/B,Braemar Mount Auldyn Ramsey Isle Of Man IM8 3PJ,Installation of a flue,Permitted,29-Nov-18,Head of Development Management
18/01087/B,Sunny Bank South Cape Laxey Isle Of Man IM4 7BU ,Erection of a shed / workshop,Permitted,05-Dec-18,Principal Planner - South (SC)
18/01088/B,12 The Meadows Kirk Michael Isle Of Man IM6 1EU,"Alterations and extension to property including creation of porch, installation of juliet balcony and various adjustments to existing openings",Permitted,17-Dec-18,Principal Planner - South (SC)
18/01090/B,2 Crown Street & 40 Castle Street Peel Isle Of Man ,Installation of replacement windows,Permitted,05-Dec-18,Principal Planner - South (SC)
18/01091/B,84 Governors Hill Douglas Isle Of Man IM2 7EU,Demolition of conservatory and erection of extension to rear of property.,Permitted,05-Dec-18,Head of Development Management
18/01092/B,Field 420733 Adjacent To Shilley Lhean Ballagawne Ballabeg Castletown Isle Of Man  ,Erection of a detached building to provide ancillary living accommodation,Refused,21-Nov-18,Head of Development Management
18/01093/B,Yn Rheash Corlea Road Ballasalla Isle Of Man IM9 3BA,Erection of extension to side of property to provide additional living accommodation with car port below.,Permitted,20-Nov-18,Head of Development Management
18/01094/B,2 Wentworth Close Onchan Isle Of Man IM3 2JU,Alterations and erection of an extension,Permitted,29-Nov-18,Principal Planner - South (SC)
18/01095/B,44 Albany Road Douglas Isle Of Man IM2 3NA,Alterations and additions to property including demolition of existing rear yard buildings and replacement with single storey extension (amendment to PA 18/00597/B) (in connection with Registered Building Application 18/01096/CON),Permitted,29-Nov-18,Principal Planner - South (SC)
18/01096/CON,44 Albany Road Douglas Isle Of Man IM2 3NA,Registered Building Consent for demolition of existing rear yard outbuildings as part of works (in connection with application 18/01095/B),Permitted,29-Nov-18,Principal Planner - South (SC)
18/01097/C,Shop Unit 2 Church Walk St Pauls Square Ramsey Isle Of Man IM8 1LA ,Change of use from retail (Class 1) to a cafe / restaurant (Class 3),Permitted,29-Nov-18,Principal Planner- North (CB)
18/01098/B,Rosebank Baldrine Hill Baldrine Isle Of Man IM4 6DQ,Erection of a detached shed / store room,Permitted,29-Nov-18,Principal Planner- North (CB)
18/01099/B,36 Linden Gardens Douglas Isle Of Man IM2 6AB ,Installation of flat roof dormer to rear elevation,Permitted,29-Nov-18,Head of Development Management
18/01103/B,Mullinaragher House Rheast Road Santon Isle Of Man IM4 2HR ,Erection of a detached building to provide a studio,Permitted,11-Dec-18,Planning Committee
18/01104/B,17 Thorny Road Douglas Isle Of Man IM2 5EG,Installation of replacement windows (partial retrospective),Refused,05-Dec-18,Head of Development Management
18/01105/B,39 Vicarage Park Douglas Isle Of Man IM2 2QE ,Alterations and relocation of vehicular access,Permitted,05-Dec-18,Head of Development Management
18/01109/LAW,7 - 9 Station Road Peel Isle Of Man IM5 1AY,"Application for certificate of Lawful Development for the installation of two replacement rear windows, patio door and window and roofing works",Certificate of Lawfulness AGREED,28-Dec-18,Head of Development Management
18/01110/B,Land To The East Of Block D Balthane Park Off Balthane Road Balthane Industrial Estate Balthane Ballasalla Isle Of Man  ,Erection of 15 industrial units in two separate blocks,Permitted,06-Dec-18,Head of Development Management
18/01113/B,Old School House Bernahara Road Andreas Isle Of Man IM7 3HH ,Installation of flue from multi-fuel stove,Permitted,05-Dec-18,Head of Development Management
18/01114/B,Jemmy Dans Croft St Judes Road Andreas Isle Of Man IM7 3HF,Installation of French doors and re-roofing of building in connection with upgrading of existing storage area in to living accommodation.,Permitted,30-Nov-18,Head of Development Management
18/01115/B,2 Campion Way Douglas Isle Of Man IM2 7DU,Replacement of existing conservatory roof with tiled roof,Permitted,05-Dec-18,Head of Development Management
18/01116/B,53 Woodbourne Road Douglas Isle Of Man IM2 3AF,Replacement of existing timber windows with sliding sash PVC units,Permitted,21-Dec-18,Principal Planner - South (SC)
18/01119/GB,Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,Replacement of asbestos cement downspouts with cast iron effect aluminium downspouts (in association with RB application 18/01120/CON),Permitted,18-Dec-18,Head of Development Management
18/01120/CON,Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,Registered building consent for the replacement of asbestos cement downspouts with cast iron effect aluminium downspouts - RB 176 (in association with application 18/01119/GB),Permitted,18-Dec-18,Head of Development Management
18/01122/B,29 Glebe Aalin Ballaugh Isle Of Man IM7 5BX,Replacement of existing conservatory roof with tiled roof,Permitted,05-Dec-18,Head of Development Management
18/01123/B,The Bungalow Baldrine Hill Baldrine Isle Of Man IM4 6DS,Installation of a flue,Permitted,18-Dec-18,Principal Planner - South (SC)
18/01124/B,8 Farmhill Gardens Douglas Isle Of Man IM2 2EG,Window and door alterations to property,Permitted,06-Dec-18,Head of Development Management
18/01127/B,9 Milner Park Port Erin Isle Of Man IM9 6DH,"Alterations, installation of dormer windows and erection of an extension",Permitted,24-Dec-18,Head of Development Management
18/01129/B,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES,"Relocation of existing access to provide access to both Kafue Cottage and adjacent fields, and erection of detached garage.",Refused,24-Dec-18,Head of Development Management
18/01130/B,Conway Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ,Alterations and erection of a rear extension,Permitted,13-Dec-18,Principal Planner - South (SC)
18/01131/B,53 Ballaquark Douglas Isle Of Man IM2 2ES,Replacement of existing conservatory roof with tiled roof.,Permitted,06-Dec-18,Head of Development Management
18/01132/B,MGS House Circular Road Douglas Isle Of Man  ,"Relocation of existing entrance in place of existing window to east of current position, including replacement of existing entrance doors with glazed units",Permitted,06-Dec-18,Head of Development Management
18/01133/B,8 Terence Avenue Douglas Isle Of Man IM2 5BL ,Single storey extension to side and rear of property.,Permitted,13-Dec-18,Head of Development Management
18/01134/B,29 The Park Onchan Isle Of Man IM3 1HR,Widening of existing vehicular access and two storey extension to rear of property.,Permitted,13-Dec-18,Head of Development Management
18/01135/B,61 King Edward Road Onchan Isle Of Man IM3 2AR,Alterations to property including extension on south elevation and increase in size of existing timber terrace,Permitted,13-Dec-18,Head of Development Management
18/01136/B,Kincroft Surby Road Ballafesson Port Erin Isle Of Man IM9 6TE,Installation of roof over existing parking area.,Permitted,21-Dec-18,Principal Planner - South (SC)
18/01137/GB,Castle Arms Hotel The Quay Castletown Isle Of Man IM9 1LD,Installation of external steps suitable for ambulant disabled access to side elevation (in association with registered building application 18/01138/CON),Permitted,24-Dec-18,Head of Development Management
18/01138/CON,Castle Arms Hotel The Quay Castletown Isle Of Man IM9 1LD,Registered Building Consent for the installation of external steps suitable for ambulant disabled access to side elevation - RB 25 (in association with application 18/01137/GB),Permitted,24-Dec-18,Head of Development Management
18/01139/B,4 Claughbane Avenue Ramsey Isle Of Man IM8 2BE,Replacement of existing conservatory roof with tiled roof,Permitted,13-Dec-18,Head of Development Management
18/01140/B,88 Port E Chee Avenue Douglas Isle Of Man IM2 5EY,Replacement of existing glazed conservatory roof with tiles,Permitted,13-Dec-18,Head of Development Management
18/01141/B,44 Ballahane Close Port Erin Isle Of Man IM9 6EH,Replacement of existing conservatory roof with tiled roof,Permitted,13-Dec-18,Head of Development Management
18/01143/B,Old Bank House Main Road Kirk Michael Isle Of Man IM6 1ED,"Demolition of rear porch, window and door alterations and installation of roof lights, a flue and replacement windows (in association with 18/01144/CON)",Permitted,24-Dec-18,Head of Development Management
18/01144/CON,Old Bank House Main Road Kirk Michael Isle Of Man IM6 1ED,Registered building consent for the demolition of rear porch (in association with 18/01143/B),Permitted,24-Dec-18,Head of Development Management
18/01145/B,Club House Peel Road Douglas Isle Of Man IM2 2RA,Installation of a glazed canopy to external terrace,Permitted,13-Dec-18,Principal Planner - South (SC)
18/01146/A,Claddagh Mill House Sulby Bridge Sulby Isle Of Man IM7 2EZ,Approval in principle for the erection of a replacement dwelling,Permitted,13-Dec-18,Principal Planner - South (SC)
18/01147/B,The Dowry Richmond Road Ramsey Isle Of Man IM8 3PA,Replacement roof to property (retrospective),Permitted,10-Dec-18,Planning Committee
18/01150/B,Ard Aalin Pinfold Hill Laxey Isle Of Man IM4 7HW ,Alterations and erection of a first floor extension to dwelling,Refused,13-Dec-18,Principal Planner - South (SC)
18/01153/B,Factory Swagelok Ltd Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4RA,Creation of four windows to rear elevation,Permitted,24-Dec-18,Head of Development Management
18/01155/B,8 Ormly Grove Ramsey Isle Of Man IM8 3LG,"Alterations, erection of extension and installation of a flue",Permitted,13-Dec-18,Principal Planner - South (SC)
18/01159/B,The Palms 15 Marathon Road Douglas Isle Of Man IM2 4HN,Construction of first floor extension to existing single storey dwelling including raising roof eaves level,Permitted,18-Dec-18,Principal Planner - South (SC)
