PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
15/01062/B,Co-Op Supermarket  Christian Street Ramsey Isle Of Man IM8 1DG ,"Shop front colour change, installation of ATM, two bollards and two lighting columns in the car park",21-Oct-15,Head of Development Management,Permitted
15/01065/B,5 Ashlar Drive Union Mills Isle Of Man IM4 4LJ,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01066/B,3 Park View Agneash Laxey Isle Of Man IM4 7NS ,"Alterations, creation of an additional window and erection of a porch to dwelling",21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01067/B,Duncraggan Highfield Drive Baldrine Isle Of Man IM4 6ED,"Alterations, erection of a rear extension and installation of front and rear dormer windows to dwelling",21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01068/B,Peel Power Station Mill Road  Peel Isle Of Man IM5 1TE,Installation of two bulk storage fuel tanks to replace existing,23-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01069/B,Mariners House Back Shore Road Laxey Isle Of Man IM4 7DQ,Installation of replacement patio doors to rear elevation,22-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01071/B,Corner Of Field 432837 Church Farm Great Meadow Castletown Isle Of Man  ,Erection of an agricultural building,23-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01072/B,6 Cedar Walk Douglas Isle Of Man IM2 5NG,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01073/B,The Milestone Petrol Station  Peel Road Douglas Isle Of Man IM1 5ED,Erection of extension to rear of existing shop to provide additional store and shop floor area and alterations to the existing building,01-Dec-15,Planning Committee,Permitted
15/01074/B,Plots 154 & 155 Residential Development Under Construction Ballakilley Off Church Road Rushen ,Erection of two detached dwellings (amendment to previously approved PA 13/00777/B),29-Oct-15,Director Delegation,Permitted
15/01075/B,Flat 5   65 Bucks Road Douglas Isle Of Man IM1 3EF,Installation of replacement windows to front and rear elevations (retrospective),12-Nov-15,Director Delegation,Permitted
15/01076/B,Ballavar Farm Old Castletown Road Santon Isle Of Man IM4 1EY,Alterations and erection of extension to stone shed to create a shed / tack and loose box,26-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01077/B,Geay Varrey Clifton Road Port St. Mary Isle Of Man IM9 5EL,Erection of a replacement dwelling,17-Nov-15,Planning Committee,Refused
15/01078/B,5 Circular Road Peel Isle Of Man IM5 1ND,Installation of replacement front windows and front door,29-Oct-15,Director Delegation,Permitted
15/01079/B,Island Landscapes Limited Workshop  Laurel Bank Depot Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN,"Erection of building to provide workshop, offices and staff welfare facilities",02-Nov-15,Director Delegation,Permitted
15/01080/B,15 Beach Street Peel Isle Of Man IM5 1NJ,Installation of replacement windows to front elevation,29-Oct-15,Director Delegation,Permitted
15/01082/B,11 Osborne Grove Douglas Isle Of Man IM1 3LF ,Installation of replacement windows to front elevation (retrospective),15-Dec-15,Planning Committee,Refused
15/01083/B,21 Market Street Peel Isle Of Man IM5 1AE,Installation of replacement windows to dwelling,29-Oct-15,Director Delegation,Permitted
15/01084/D,33-35 Victoria Street Douglas Isle Of Man IM1 2LF ,Installation of digital advertising display to allow the display of advertising unrelated to the business being undertaken within the ground floor of the application site,03-Nov-15,Planning Committee,Permitted
15/01085/B,Maughold Church Maughold Isle Of Man IM7 1AS ,Removal of existing and application of a replacement render to building,29-Oct-15,Director Delegation,Permitted
15/01086/B,2 Hutchinson Square Douglas Isle Of Man IM2 4HU ,Installation of replacement windows and door to front elevation,12-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01088/B,Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF,"Erection of detached garage with attic storage, gable window and roof lights (comprising amendments to PA 15/00147/B)",04-Dec-15,Senior Planning Officer - South (SC),Permitted
15/01090/GB,Co-op Store  The Parade Castletown Isle Of Man IM9 1LG ,"Shop front colour change, erection of guard rails, installation of security door to replace existing goods door and internal refurbishment works (in association with 15/01091/CON)",10-Nov-15,Director Delegation,Permitted
15/01091/CON,Co-op Store  The Parade Castletown Isle Of Man IM9 1LG ,"Registered Building Consent for shop front colour change, erection of guard rails, installation of security door to replace existing goods door and internal refurbishment works (RB no 32 in association with 15/01090/GB)",10-Nov-15,Director Delegation,Permitted
15/01092/B,2 Foxglove Close Douglas Isle Of Man IM2 7EG,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,29-Oct-15,Director Delegation,Permitted
15/01093/D,Ocean Kia Isle Of Man Business Park Cooi Road Isle Of Man IM2 4WD ,Installation of both illuminated and non-illuminated signage,29-Oct-15,Director Delegation,Permitted
15/01094/B,Viking House Summerhill Road Onchan Isle Of Man IM3 1NS,Enlargement of existing window and installation of additional window,12-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01095/A,Rheast Mooar House Andreas Road Ramsey Isle Of Man IM8 3UA,Approval in principle for the erection of a detached dwelling and creation of a vehicular access for Rheast Mooar House,19-Nov-15,Planning Committee,Permitted
15/01096/B,93-98 Lheannag Park Douglas Isle Of Man IM2 2DL,"Installation of replacement external doors, and construction of paths and retaining walls to rear of dwellings",12-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01097/C,1 Blackwood Cottages Ballamona Road Ballaugh Isle Of Man IM7 5BE,Extension of residential curtilage into adjacent field,18-Nov-15,Withdrawn,Application Withdrawn
15/01098/B,Pomeroy Richmond Road Ramsey Isle Of Man IM8 3PB,Erection of a portal frame workshop building in rear garden,29-Oct-15,Director Delegation,Permitted
15/01099/B,Co-op Supermarket  Douglas Isle Of Man IM1 2AY,Installation of replacement safety railings to rear elevation,09-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01100/B,Rough Lea Glen Road Laxey Isle Of Man IM4 7AN,Installation of replacement back door and lintel,29-Oct-15,Director Delegation,Permitted
15/01101/B,Strathcona Ballakillowey Road Colby Isle Of Man IM9 4BN,Erection of a replacement porch to south elevation,05-Nov-15,Director Delegation,Permitted
15/01102/B,10 Auburn Road Onchan Isle Of Man IM3 1LW,Conversion of existing detached garage into ancillary living accommodation,17-Nov-15,Planning Committee,Permitted
15/01103/B,18 Parliament Street Ramsey Isle Of Man IM8 1AP ,Installation of replacement windows and doors to front and rear elevations,08-Dec-15,Director Delegation,Permitted
15/01104/B,Surby Mount Surby Road Surby Port Erin Isle Of Man IM9 6TA,Erection of a two storey extension to replace existing single storey extension to west elevation,10-Nov-15,Director Delegation,Permitted
15/01105/B,3 Ballanawin Strang Douglas Isle Of Man IM4 4NR,"Replace existing glazed conservatory roof with roof tiles",05-Nov-15,Head of Development Management,Permitted
15/01107/B,5 Farrant Street Douglas Isle Of Man IM2 3HF,Replacement of an existing section of fencing with a pedestrian access gate and a stone wall to match existing boundary wall,09-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01108/B,Land Adjacent To Forrest House & Ronaldsway Aircraft Factory Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man  ,"Erection of a replacement Fire Station for Castletown and Ballasalla incorporating Southern Ambulance Station, with associated parking and training facilities",17-Nov-15,Planning Committee,Permitted
15/01109/B,Westlands  Rheast Bridson Peel Isle Of Man IM5 1JG,Erection of a 32 unit sheltered housing scheme with associated parking,17-Nov-15,Planning Committee,Permitted
15/01110/B,Hillside Cottage Smeale Road Andreas Isle Of Man IM7 4JA,Erection of extensions to side and rear elevations,18-Nov-15,Director Delegation,Permitted
15/01111/C,2 West Street Ramsey Isle Of Man IM8 1DB,Change of use from retail / warehouse / distribution to a commercial gym,04-Dec-15,Senior Planning Officer - North (CB),Permitted
15/01112/C,56 - 58 Duke Street Douglas Isle Of Man IM1 2AR,Change of use of premises from restaurant with hot food takeaway facility to retail,05-Nov-15,Head of Development Management,Permitted
15/01114/B,White House Poortown Road St Johns Isle Of Man IM4 3NQ,Demolition of existing and erection of a replacement detached garage with extension to existing hard standing,05-Nov-15,Head of Development Management,Permitted
15/01115/B,Brighton Terrace Allotment Brighton Terrace Douglas Isle Of Man  ,"Alterations, removal of existing sheds and hard standings and installation of new paths, hard standings, fencing, greenhouses and potting shed / store (retrospective)",04-Dec-15,Senior Planning Officer - South (SC),Permitted
15/01117/GB,Former Social Security Office Castle Street Castletown Isle Of Man IM9 1LD,Conversion of vacant building for use as a coffee shop (in association with 15/01118/CON) (Amendments to PA 15/00627/GB),17-Nov-15,Planning Committee,Permitted
15/01118/CON,Former Social Security Office Castle Street Castletown Isle Of Man IM9 1LD,Registered Building consent for the conversion of vacant building for use as a coffee shop (in association with 15/01117/GB) (Amendments to PA 15/00628/CON) Registered Building Nos. 26,17-Nov-15,Planning Committee,Permitted
15/01119/B,59 Woodbourne Road Douglas Isle Of Man IM2 3AQ,Installation of replacement windows to dwelling,12-Nov-15,Director Delegation,Permitted
15/01120/B,Southwinds Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ,Erection of a car port over part of existing driveway,05-Nov-15,Head of Development Management,Permitted
15/01123/B,The Brewery Old Castletown Road Douglas Isle Of Man IM2 1QG,"Alterations, internal re-organisation including the installation of a mezzanine floor to provide additional office space, creation of additional windows and doors and provision of additional parking",04-Dec-15,Senior Planning Officer - South (SC),Permitted
15/01124/B,Land At Lancashire House & Furness Cottage New Castletown Road Newtown Santon Isle Of Man IM4 1HS,Replace existing with two detached dwellings with associated detached garages including new highway access and estate roadway,17-Nov-15,Planning Committee,Permitted
15/01127/B,Firlea Phildraw Road Ballasalla Isle Of Man IM9 3EG,Replacement of an existing conservatory glazed roof with tiles,10-Nov-15,Director Delegation,Permitted
15/01128/B,3 Clypse View Onchan Isle Of Man IM3 3GD,Replacement of existing glazed conservatory roof with roof slates,10-Nov-15,Director Delegation,Permitted
15/01129/B,26 Abbots Way Abbotswood Ballasalla Isle Of Man IM9 3EQ ,Installation of windows and door to rear conservatory and replacement of existing glazed conservatory roof with tiles and two roof lights,10-Nov-15,Director Delegation,Permitted
15/01130/B,95 Ballamaddrell Port Erin Isle Of Man IM9 6AU,Replacement and enlargement of rear conservatory to dwelling,12-Nov-15,Director Delegation,Permitted
15/01133/B,Hillcliff Bay View Road Port St. Mary Isle Of Man IM9 5AP ,Replacement of two existing rear first floor windows with glazed doors and Juliet balcony,11-Nov-15,Director Delegation,Permitted
15/01134/B,Land Adjacent To Allandale Farm Ballamanagh Road Sulby Isle Of Man  ,Erection of a detached dwelling and detached stables,03-Dec-15,Planning Committee,Permitted
15/01136/B,406 Kings Court Ramsey Isle Of Man IM8 1LN ,Enclosure of existing balcony with upvc glazing,11-Nov-15,Director Delegation,Permitted
15/01137/D,44 Westmoreland Road Douglas Isle Of Man IM1 4AN,Erection of signage (retrospective),11-Nov-15,Director Delegation,Permitted
15/01139/B,12 Malew Street Castletown Isle Of Man IM9 1AB,Installation of replacement windows,16-Dec-15,Senior Planning Officer - South (SC),Permitted
15/01140/B,The Vollan Pump Station Mooragh Park Ramsey Isle Of Man  ,Erection of a replacement pump station with grasscrete access road and amenity lighting,03-Dec-15,Planning Committee,Permitted
15/01142/B,25 Balleigh Court Ramsey Isle Of Man IM8 3NQ ,Installation of a flue to dwelling,04-Dec-15,Senior Planning Officer - South (SC),Permitted
15/01143/C,Flat 9 - Beresford House 11 - 12 Palace Terrace Queens Promenade Douglas Isle Of Man IM2 4NE ,Additional use of existing residential apartment as tourist accommodation,01-Dec-15,Planning Committee,Permitted
15/01145/B,29 Woodbourne Road Douglas Isle Of Man IM2 3AB,Installation of replacement windows to front elevation of dwelling,18-Nov-15,Director Delegation,Permitted
15/01146/B,Scottsdale 5 Osborne Grove Douglas Isle Of Man IM1 3LF ,Erection of raised decking area to rear elevation and installation of French doors to replace existing kitchen window,18-Nov-15,Director Delegation,Permitted
15/01148/B,Clagh Vane Estate  Ballasalla Isle Of Man IM9 2HE,"Demolition of existing dwellings and erection of replacement dwellings and apartments with associated car parking, roads and footpaths, landscaping and drainage",01-Dec-15,Planning Committee,Permitted
15/01149/B,2-8 Hillberry Heights Douglas Isle Of Man IM2 7BP,Erection of replacement front porch,18-Nov-15,Director Delegation,Permitted
15/01151/D,Marks And Spencer Drumgold Street Douglas Isle Of Man IM1 2SB ,Installation of replacement store signage,19-Nov-15,Director Delegation,Permitted
15/01158/B,Ballakaneen Equestrian Facility Andreas Road Andreas Isle Of Man IM7 4EN ,Variation of condition three of approved equestrian centre (PA 09/02059/B) to enable the use of the equestrian centre independent of Ballakaneen House,01-Dec-15,Planning Committee,Permitted
15/01159/LAW,Flat Two 15 Hutchinson Square Douglas Isle Of Man IM2 4HT,Certificate of Lawful Use for the use of flat two as residential living accommodation,28-Oct-15,Withdrawn,Application Withdrawn
