"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"12/00625/B","Erection of an extension to dwelling","61 Ballanawin Strang Douglas Isle Of Man IM4 4NU","Permitted","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00626/A","Approval in principle for the replacement of existing farm buildings with new farm buildings and agricultural workers accommodation","Laurel Bank Farm Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NJ","Refused","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00627/B","Creation of a first floor by raising the roof of dwelling","Breckside Glen Darragh Road Glen Vine Isle Of Man IM4 4BE ","Permitted","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00628/C","Change of use of ground floor of dwelling as a recording studio","The Old Bakery 4 Factory Lane Peel Isle Of Man IM5 1HF ","Deemed withdrawn 4(3) Dev Pro Order 2005","10-Sep-12","Withdrawn","2012"
"12/00629/B","Alterations, erection of extension and installation of replacement windows to dwelling","Woodville Castletown Road Port St. Mary Isle Of Man IM9 5LT","Permitted","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00630/B","Erection of a porch","22 Pairk Beg Port Erin Isle Of Man IM9 6NQ","Permitted","14-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00631/B","Installation of replacement windows and doors","4 Mona Terrace Castletown Isle Of Man IM9 1BH","Permitted","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00632/C","Removal of condition three restricting the use of dwellings to tourism (PA 02/01030/B)","1 & 2 Soalt Vooar Kerrowgarrow Road Greeba Isle Of Man IM4 3LQ","Permitted","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00633/B","Installation of a solar panel","33 Harcroft Avenue Douglas Isle Of Man IM2 1PE","Permitted","05-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00634/B","Installation of a single shop front and fascia; use of 37/39 Victoria Street as two separate units  or as a single unit for either Class 1 purposes (retail) or Class 2 purposes (estate agents) or both.","37 / 39 Victoria Street Douglas Isle Of Man IM1 2LF","Permitted","10-Aug-12","Senior Planning Officer - South (SC)","2012"
"12/00635/D","Erection of signage (revised application to PA 11/00249/D)","37 / 39 Victoria Street Douglas Isle Of Man IM1 2LF","Permitted","10-Aug-12","Senior Planning Officer - South (SC)","2012"
"12/00636/B","Erection of a maximum of one plotting / tool shed on each allotment and alteration to existing entrance gateway (retrospective)","Field 134249 Garey Road Garey Ramsey Isle Of Man  ","Permitted","12-Jul-12","Planning Committee","2012"
"12/00637/B","Alterations and extension to dwelling and alterations to existing vehicular access","Garth Cottage Ballaragh Road Laxey Isle Of Man IM4 7PH","Permitted","05-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00638/B","Demolition of existing single storey extension and erection of a replacement single storey extension with roof terrace over","Belle Vue House Belle Vue Peel Isle Of Man IM5 1UH","Permitted","14-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00639/C","Continuation of use of conservatory as a beauty therapy treatment room (PA 10/00496/R)","5 Lower Cronk Orry Minorca Hill Laxey Isle Of Man IM4 7EG ","Permitted","25-Jun-12","Planning Committee","2012"
"12/00640/B","Erection of a two storey extension with revised road and parking layout","Isle Of Man College  Homefield Road Douglas Isle Of Man IM2 6RB","Permitted","14-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00641/C","Additional use of residential apartment as tourist accommodation","28 Quay West Apartments Bridge Road Douglas Isle Of Man IM1 5AG ","Permitted","14-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00642/C","Additional use of residential apartment as tourist accommodation","29 Quay West Apartments Bridge Road Douglas Isle Of Man IM1 5AG ","Permitted","14-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00643/A","Approval in principle for erection of dwelling and garage","Field 514231 Court Farm  Main Road Santon Isle Of Man  ","Refused","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00644/B","Alterations, erection of an extension, removal of sod bank and erection of a replacement fence","1 Ballamoar Cottages Sandygate Ramsey Isle Of Man IM7 3AH","Refused","14-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00645/B","Installation of a replacement front door","24 Summerhill Road Onchan Isle Of Man IM3 1LY","Permitted","14-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00646/B","Erection of a replacement outbuilding to provide ancillary office/store","Thie Gennal Foxdale Road St Johns Isle Of Man IM4 3AP ","Permitted","24-Jul-12","Planning Committee","2012"
"12/00647/B","Brick up existing kitchen window and creation of a new kitchen window","Bankfield Droghadfayle Road Port Erin Isle Of Man IM9 6EE","Permitted","14-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00648/B","Convert existing outbuilding into a toilet","54 Snugborough Avenue Union Mills Isle Of Man IM4 4NA","Permitted","14-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00649/B","Alterations including creation of a chimney, steps alteration, retention of secondary driveway and access and creation of gate pillars to approved entrance (retrospective)","Kinsale Dalby Isle Of Man IM5 3BR ","Permitted","04-Jul-12","Senior Planning Officer - North (CB)","2012"
"12/00650/B","Installation of replacement windows to front elevation","12 Queens Avenue Douglas Isle Of Man IM1 4DA","Permitted","14-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00651/B","Demolish existing detached garage and erection of an attached garage to dwelling","Meadow View 8 Douglas Avenue Douglas Isle Of Man IM2 5EL","Permitted","14-Jun-12","Head of Development Management","2012"
"12/00652/B","Installation of a replacement front door","2 Derby Road Peel Isle Of Man IM5 1HH","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00653/B","Creation of an enclosed porch","20 Milner Park Port Erin Isle Of Man IM9 6DH","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00654/B","Installation of replacement windows and door to rear elevation","Wavecrest The Promenade Laxey Isle Of Man IM4 7DF","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00655/B","Replace existing front bay window with french doors","2 Walpole Close Ramsey Isle Of Man IM8 1LS","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00656/C","Additional use of apartment as tourist accommodation","Garden Flat 5 Marine Parade Peel Isle Of Man IM5 1PB ","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00657/B","Erection of an agricultural building","Field 432419 Ballawhetstone  Douglas Road Ballabeg Castletown Isle Of Man IM9 4ED","Application Withdrawn","25-Jun-12","Withdrawn","2012"
"12/00658/B","Erection of a detached dwelling","Land Adjacent  Westwood New Road Laxey Isle Of Man  ","Permitted","20-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00659/D","Erection of illuminated signage","Kingswood Honda Kingswood Grove Douglas Isle Of Man IM1 3LY","Permitted","19-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00660/B","Removal of front wall and extension of hard standing (retrospective)","Verndale Glen Road Laxey Isle Of Man IM4 7AN","Permitted","15-Jun-12","Head of Development Management","2012"
"12/00661/B","Erection of a single storey extension to rear elevation","5 Tromode Heights Douglas Isle Of Man IM2 5LU","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00662/B","Installation of replacement windows to rear elevation","78A Malew Street Castletown Isle Of Man IM9 1LS","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00663/B","Creation of a vehicular access","Longmead Hill Park Ballakillowey Colby Isle Of Man IM9 4BF","Permitted","12-Jul-12","Senior Planning Officer - North (CB)","2012"
"12/00664/B","Construction of 38 sheltered housing apartments and ancillary accommodation, parking and public open space","Phase 10 Heather Crescent Douglas Isle Of Man IM2 1AX","Permitted","04-Oct-12","Department Application","2012"
"12/00665/LAW","Application for a Certificate of Lawful Use of premises as an office (Use Class 4)","67A  Derby Road Douglas Isle Of Man IM2 3EA","Application Withdrawn","02-Jul-12","Withdrawn","2012"
"12/00666/A","Approval in principle for the erection of a dwelling and garage","Land Adjacent To Shenndeeagh Ballaquane Road Peel Isle Of Man  ","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00667/B","Alterations, demolition of existing outbuildings and erection of an extension to dwelling","The Knolle 72 Summerhill Road Onchan Isle Of Man IM3 1NH","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00668/B","Alterations and erection of a two storey extension to dwelling","20 Manor Drive Douglas Isle Of Man IM2 2NY","Permitted","15-Jun-12","Head of Development Management","2012"
"12/00669/B","Erection of a first floor extension over existing garage","4 Ballagyr Park Peel Isle Of Man IM5 1UL","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00670/B","Alterations, replacement and enclosure of space below raised decking to rear elevation of dwelling","Green Oak Clay Head Road Baldrine Isle Of Man IM4 6DJ ","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00671/B","Erection of a polytunnel","Ballaseyre Farm  Andreas Road Andreas Isle Of Man IM7 4EN ","Permitted","19-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00672/B","Alterations and erection of an extension to dwelling","5 Hillcrest Grove Onchan Isle Of Man IM3 3HZ","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00673/B","Alterations and erection of a single storey extension and a first floor extension to dwelling","7 Erin Way Port Erin Isle Of Man IM9 6EF","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00674/B","Demolition of existing sun lounge and erection of a garden room to dwelling","Mona Lodge Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA ","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00675/B","Erection of a replacement garage","Thie Vane Truggan Road Port St. Mary Isle Of Man IM9 5AX","Permitted","18-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00676/B","Replacement of existing lean to roof structure with a conservatory type structure to form an enclosure and installation of steps and canopy to rear elevation","14 - 16 Mount Havelock Douglas Isle Of Man IM1 2QG","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00677/B","Alterations and extension to dwelling (comprising amendments to PA 11/01498/B)","Braemar 1 Lag Birragh Drive Onchan Isle Of Man IM3 2JW","Permitted","15-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00678/B","Erection of an agricultural cattle shed","Balladoole Farm Balladoole Castletown Isle Of Man IM9 4PQ ","Permitted","11-Jul-12","Senior Planning Officer - North (CB)","2012"
"12/00679/B","Regeneration works to highway","Douglas Regeneration Phase One Junction Of Victoria Street And Duke Street Douglas Isle Of Man  ","Permitted","07-Aug-12","Department Application","2012"
"12/00680/B","Alterations and erection of a two storey extension to dwelling","Greywall Great Meadow Castletown Isle Of Man IM9 4EB ","Permitted","12-Jun-12","Planning Committee","2012"
"12/00681/B","Creation of 2 no windows on north west side elevation","Verndale Glen Road Laxey Isle Of Man IM4 7AN","Permitted","24-Jul-12","Senior Planning Officer - North (CB)","2012"
"12/00682/C"," Additional use of dwelling as a tea room","5 Hutchinson Square Douglas Isle Of Man IM2 4HU","Refused","18-Jun-12","Head of Development Management","2012"
"12/00683/D","Erection of replacement directional signage","Spring Valley Industrial Estate Cooil Road Douglas Isle Of Man  ","Permitted","15-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00684/B","Erection of a dwelling and garage","Plot 14  Adjacent Number 12 Clifton Drive Ramsey Isle Of Man  ","Application Withdrawn","27-Jul-12","Withdrawn","2012"
"12/00685/D","Erection of additional advertising signage","36 Victoria Street Douglas Isle Of Man IM1 2LB","Refused","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00686/B","Erection of an extension to rear elevation of dwelling","33 Ballabrooie Grove Douglas Isle Of Man IM1 4EX","Permitted","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00687/B","Installation of replacement windows","14 Victoria Terrace Douglas Isle Of Man IM2 4EX","Permitted","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00688/B","Erection of an animal shelter","Field 434756 (Formally 660) Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ","Refused","21-Aug-12","Planning Committee","2012"
"12/00689/B","Installation of replacement windows","The Rookery Hilary Park Douglas Isle Of Man IM2 3ED","Permitted","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00690/B","Installation of replacement windows","Mount Pleasant Andreas Road Ramsey Isle Of Man IM8 3UB","Permitted","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00691/B","Installation of replacement windows to front elevation","19 Princes Street Douglas Isle Of Man IM1 1BB","Permitted","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00692/B","Erection of a replacement conservatory on side elevation","Bengairn Lheaney Road Ramsey Isle Of Man IM8 2JF","Permitted","20-Jun-12","Senior Planning Officer - South (SC)","2012"
